Jul 30 $\rightarrowtail$ Aug 03,HR5107,HR7590,HR875,HR1903
Aug 04 $\rightarrowtail$ Aug 08,HR5107,HR4023,HR875,HR3117
Aug 09 $\rightarrowtail$ Aug 13,HR6743,HR7590,HR875,HR8709
Aug 14 $\rightarrowtail$ Aug 18,HR6743,HR7590,HR875,HR3117
Aug 19 $\rightarrowtail$ Aug 23,HR6743,HR7830,HR875,HR3131
Aug 24 $\rightarrowtail$ Aug 28,HR6743,HR4467,HR875,HR3131
Aug 29 $\rightarrowtail$ Sep 02,HR6743,HR4467,HR875,HR9098
Sep 03 $\rightarrowtail$ Sep 07,HR6743,HR5107,HR875,HR9098
Sep 08 $\rightarrowtail$ Sep 12,HR6743,HR7590,HR1903,HR3314
Sep 13 $\rightarrowtail$ Sep 17,HR6743,HR7590,HR1903,HR3314
Sep 18 $\rightarrowtail$ Sep 22,HR6743,HR5671,HR1903,HR3314
Sep 23 $\rightarrowtail$ Sep 27,HR6743,HR8709,HR1903,HR4023
Sep 28 $\rightarrowtail$ Oct 02,HR7830,HR8709,HR1903,HR4023
Oct 03 $\rightarrowtail$ Oct 07,HR7830,HR5671,HR1903,HR4023
Oct 08 $\rightarrowtail$ Oct 12,HR7830,HR9098,HR1903,HR4023
Oct 13 $\rightarrowtail$ Oct 17,HR7830,HR5671,HR3131,HR4467
Oct 18 $\rightarrowtail$ Oct 22,HR7830,HR5671,HR3131,HR4467
Oct 23 $\rightarrowtail$ Oct 27,HR7830,HR806,HR3131,HR875
Oct 28 $\rightarrowtail$ Nov 01,HR7830,HR806,HR3131,HR875
Nov 02 $\rightarrowtail$ Nov 06,HR8709,HR806,HR3131,HR806
Nov 07 $\rightarrowtail$ Nov 11,HR8709,HR806,HR3131,HR806
Nov 12 $\rightarrowtail$ Nov 16,HR8709,HR6743,HR3131,HR806
Nov 17 $\rightarrowtail$ Nov 21,HR8709,HR875,HR3131,HR806
Nov 22 $\rightarrowtail$ Nov 26,HR9098,HR875,HR3131,HR806
Nov 27 $\rightarrowtail$ Dec 01,HR9098,HR7590,HR3131,HR1903
Dec 02 $\rightarrowtail$ Dec 06,HR9098,HR7590,HR3131,HR1903
Dec 07 $\rightarrowtail$ Dec 11,HR9098,HR7830,HR3131,HR1903
Dec 12 $\rightarrowtail$ Dec 16,HR9098,HR7590,HR4023,HR1903
Dec 17 $\rightarrowtail$ Dec 21,HR9098,HR7590,HR4023,HR5671
Dec 22 $\rightarrowtail$ Dec 26,HR9098,HR1903,HR4023,HR5671
Dec 27 $\rightarrowtail$ Dec 31,HR875,HR1903,HR4023,HR5671
